timestamp,cctv_id,cctv_name,latitude,longitude,image_path,flood_status
20251020_214025,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_214025.jpg,Wet
20251020_214027,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_214027.jpg,Wet
20251020_214028,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_214028.jpg,Wet
20251020_214034,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_214034.jpg,Dry
20251020_214037,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_214037.jpg,Wet
20251020_214041,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_214041.jpg,Dry
20251020_214041,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_214041.jpg,Wet
20251020_214045,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_214045.jpg,Wet
20251020_214047,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_214047.jpg,Wet
20251020_214048,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_214048.jpg,Wet
20251020_214054,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_214054.jpg,Dry
20251020_214057,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_214057.jpg,Wet
20251020_214101,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_214101.jpg,Dry
20251020_214101,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_214101.jpg,Dry
20251020_214105,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_214105.jpg,Wet
20251020_214107,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_214107.jpg,Wet
20251020_214108,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_214108.jpg,Wet
20251020_214114,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_214114.jpg,Dry
20251020_214117,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_214117.jpg,Wet
20251020_214121,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_214121.jpg,Dry
20251020_214121,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_214121.jpg,Wet
20251020_214125,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_214125.jpg,Wet
20251020_214127,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_214127.jpg,Wet
20251020_214128,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_214128.jpg,Wet
20251020_214134,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_214134.jpg,Dry
20251020_214137,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_214137.jpg,Wet
20251020_214141,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_214141.jpg,Wet
